Código IBGE,Município,UF,Operadora,Tecnologia,% área coberta,% moradores cobertos,% domicílios cobertos,Área km2,Moradores,Domicílios,Tipo de compromisso,Compromisso,Origem compromisso,Operadora com compromisso,Status compromisso,Prazo compromisso
2500577,Algodão de Jandaíra,PB,Todas,4G,"50,86","77,50","77,99","220,2481783",2359,673,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 4G (004-2012/SPV-ANATEL),Claro,Atendido no prazo,N/A
2500577,Algodão de Jandaíra,PB,Todas,4G,"50,86","77,50","77,99","220,2481783",2359,673,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Tim,Atendido no prazo,01/07/2022
2500577,Algodão de Jandaíra,PB,Todas,4G,"50,86","77,50","77,99","220,2481783",2359,673,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500601,Alhandra,PB,Todas,4G,"96,42","99,95","99,95","182,6612162",17924,5017,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Tim,Atendido no prazo,30/04/2014
2500601,Alhandra,PB,Todas,4G,"96,42","99,95","99,95","182,6612162",17924,5017,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500700,São João do Rio do Peixe,PB,Todas,4G,"56,32","68,29","68,33","474,4307206",18144,5367,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Tim,Atendido no prazo,30/04/2015
2500700,São João do Rio do Peixe,PB,Todas,4G,"56,32","68,29","68,33","474,4307206",18144,5367,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500734,Amparo,PB,Todas,4G,"84,53","91,01","91,59","121,9838433",2088,636,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 2G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Tim,Atendido com atraso,30/04/2010
2500734,Amparo,PB,Todas,4G,"84,53","91,01","91,59","121,9838433",2088,636,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 4G (004-2012/SPV-ANATEL),Tim,Atendido no prazo,N/A
2500734,Amparo,PB,Todas,4G,"84,53","91,01","91,59","121,9838433",2088,636,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500775,Aparecida,PB,Todas,4G,"57,70","82,12","81,42","295,7055688",7668,2207,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido no prazo,30/04/2009
2500775,Aparecida,PB,Todas,4G,"57,70","82,12","81,42","295,7055688",7668,2207,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido no prazo,30/04/2013
2500775,Aparecida,PB,Todas,4G,"57,70","82,12","81,42","295,7055688",7668,2207,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Tim,Atendido no prazo,31/12/2020
2500775,Aparecida,PB,Todas,4G,"57,70","82,12","81,42","295,7055688",7668,2207,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500809,Araçagi,PB,Todas,4G,"75,17","88,22","88,23","231,1550912",17190,5004,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Claro,Atendido no prazo,30/04/2016
2500809,Araçagi,PB,Todas,4G,"75,17","88,22","88,23","231,1550912",17190,5004,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido no prazo,30/04/2009
2500809,Araçagi,PB,Todas,4G,"75,17","88,22","88,23","231,1550912",17190,5004,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500908,Arara,PB,Todas,4G,"79,96","91,95","93,39","99,11120816",12627,3911,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital de Sobras do SMP (001-2007/SPV-ANATEL),Vivo,Atendido no prazo,08/11/2022
2500908,Arara,PB,Todas,4G,"79,96","91,95","93,39","99,11120816",12627,3911,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido com atraso,30/04/2013
2500908,Arara,PB,Todas,4G,"79,96","91,95","93,39","99,11120816",12627,3911,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2009
2500908,Arara,PB,Todas,4G,"79,96","91,95","93,39","99,11120816",12627,3911,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Tim,Atendido no prazo,01/07/2022
2500908,Arara,PB,Todas,4G,"79,96","91,95","93,39","99,11120816",12627,3911,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2500908,Arara,PB,Todas,4G,"79,96","91,95","93,39","99,11120816",12627,3911,Ofertar Smp,Instalar Pelo Menos Uma Estação Rádio Base (Erb) Para Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao Long Term Evolution  - Lte Advanced Realease 10 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2024
2501005,Araruna,PB,Todas,4G,"79,90","87,72","88,22","245,7218701",18821,5222,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Claro,Atendido no prazo,30/04/2014
2501005,Araruna,PB,Todas,4G,"79,90","87,72","88,22","245,7218701",18821,5222,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501104,Areia,PB,Todas,4G,"88,60","92,39","93,04","269,4937418",23771,6345,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido no prazo,30/04/2013
2501104,Areia,PB,Todas,4G,"88,60","92,39","93,04","269,4937418",23771,6345,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501153,Areia de Baraúnas,PB,Todas,4G,"62,79","77,40","78,44","96,34277462",1927,488,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido no prazo,30/04/2010
2501153,Areia de Baraúnas,PB,Todas,4G,"62,79","77,40","78,44","96,34277462",1927,488,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 4G (004-2012/SPV-ANATEL),Vivo,Atendido no prazo,N/A
2501153,Areia de Baraúnas,PB,Todas,4G,"62,79","77,40","78,44","96,34277462",1927,488,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Tim,Atendido no prazo,31/12/2020
2501153,Areia de Baraúnas,PB,Todas,4G,"62,79","77,40","78,44","96,34277462",1927,488,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501203,Areial,PB,Todas,4G,"99,83","99,99","99,99","33,14210413",6438,1951,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2009
2501203,Areial,PB,Todas,4G,"99,83","99,99","99,99","33,14210413",6438,1951,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2016
2501203,Areial,PB,Todas,4G,"99,83","99,99","99,99","33,14210413",6438,1951,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Tim,Atendido no prazo,31/12/2020
2501203,Areial,PB,Todas,4G,"99,83","99,99","99,99","33,14210413",6438,1951,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501302,Aroeiras,PB,Todas,4G,"46,51","71,31","72,50","374,6964615",19046,5421,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido no prazo,30/04/2009
2501302,Aroeiras,PB,Todas,4G,"46,51","71,31","72,50","374,6964615",19046,5421,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido no prazo,30/04/2013
2501302,Aroeiras,PB,Todas,4G,"46,51","71,31","72,50","374,6964615",19046,5421,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Tim,Atendido no prazo,01/07/2021
2501302,Aroeiras,PB,Todas,4G,"46,51","71,31","72,50","374,6964615",19046,5421,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501351,Assunção,PB,Todas,4G,"96,31","99,39","99,48","126,4281801",3514,1042,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 2G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Tim,Atendido no prazo,30/04/2010
2501351,Assunção,PB,Todas,4G,"96,31","99,39","99,48","126,4281801",3514,1042,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 4G (004-2012/SPV-ANATEL),Tim,Atendido no prazo,N/A
2501351,Assunção,PB,Todas,4G,"96,31","99,39","99,48","126,4281801",3514,1042,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501401,Baía da Traição,PB,Todas,4G,"73,73","94,74","95,39","102,3694395",7995,2096,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido com atraso,30/04/2013
2501401,Baía da Traição,PB,Todas,4G,"73,73","94,74","95,39","102,3694395",7995,2096,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501500,Bananeiras,PB,Todas,4G,"88,25","93,17","93,37","257,9311542",21802,5930,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital de Sobras do SMP (001-2007/SPV-ANATEL),Vivo,Atendido no prazo,08/11/2022
2501500,Bananeiras,PB,Todas,4G,"88,25","93,17","93,37","257,9311542",21802,5930,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Claro,Atendido no prazo,30/04/2014
2501500,Bananeiras,PB,Todas,4G,"88,25","93,17","93,37","257,9311542",21802,5930,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501534,Baraúna,PB,Todas,4G,"86,11","96,53","96,77","50,5813318",4220,1300,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2010
2501534,Baraúna,PB,Todas,4G,"86,11","96,53","96,77","50,5813318",4220,1300,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2016
2501534,Baraúna,PB,Todas,4G,"86,11","96,53","96,77","50,5813318",4220,1300,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501575,Barra de Santana,PB,Todas,4G,"42,61","46,48","47,69","376,9130823",8189,2421,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2010
2501575,Barra de Santana,PB,Todas,4G,"42,61","46,48","47,69","376,9130823",8189,2421,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2015
2501575,Barra de Santana,PB,Todas,4G,"42,61","46,48","47,69","376,9130823",8189,2421,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Tim,Atendido no prazo,31/12/2020
2501575,Barra de Santana,PB,Todas,4G,"42,61","46,48","47,69","376,9130823",8189,2421,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501609,Barra de Santa Rosa,PB,Todas,4G,"32,22","75,61","77,37","775,6637681",14136,4191,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Claro,Atendido no prazo,30/04/2009
2501609,Barra de Santa Rosa,PB,Todas,4G,"32,22","75,61","77,37","775,6637681",14136,4191,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Claro,Atendido no prazo,30/04/2014
2501609,Barra de Santa Rosa,PB,Todas,4G,"32,22","75,61","77,37","775,6637681",14136,4191,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501708,Barra de São Miguel,PB,Todas,4G,"44,34","55,22","57,46","595,2098762",5604,1633,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2010
2501708,Barra de São Miguel,PB,Todas,4G,"44,34","55,22","57,46","595,2098762",5604,1633,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2016
2501708,Barra de São Miguel,PB,Todas,4G,"44,34","55,22","57,46","595,2098762",5604,1633,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Tim,Atendido no prazo,31/12/2021
2501708,Barra de São Miguel,PB,Todas,4G,"44,34","55,22","57,46","595,2098762",5604,1633,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Oi,Atendido no prazo,30/04/2013
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Tim,Atendido no prazo,30/04/2013
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Vivo,Atendido no prazo,30/04/2013
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 4G (004-2012/SPV-ANATEL),Oi,Atendido no prazo,N/A
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 4G (004-2012/SPV-ANATEL),Tim,Atendido no prazo,N/A
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 4G (004-2012/SPV-ANATEL),Vivo,Atendido no prazo,N/A
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 4G ou superior,Edital do 4G (004-2012/SPV-ANATEL),Claro,Atendido no prazo,N/A
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar SMP,Ofertar SMP 4G ou superior,TAC,Telefônica,Atendido no prazo,03/03/2023
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Claro,A vencer,31/07/2029
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Telefônica,A vencer,31/07/2029
2501807,Bayeux,PB,Todas,4G,"100,00","100,00","100,00","31,97330129",99585,27934,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Tim,A vencer,31/07/2029
2501906,Belém,PB,Todas,4G,"100,00","100,00","100,00","100,1544185",17022,5150,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital do 3G (002-2007/SPV-ANATEL),Tim,Atendido no prazo,30/04/2015
2501906,Belém,PB,Todas,4G,"100,00","100,00","100,00","100,1544185",17022,5150,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
2502003,Belém do Brejo do Cruz,PB,Todas,4G,"28,00","84,38","84,52","603,0429843",7124,1966,Ofertar SMP,Cobertura de pelo menos 80% da área urbana do distrito sede com 3G ou superior,Edital da Banda H (002-2010/SPV-ANATEL),Nextel,Atendido com atraso,N/A
2502003,Belém do Brejo do Cruz,PB,Todas,4G,"28,00","84,38","84,52","603,0429843",7124,1966,Ofertar Smp,Instalar Estações Rádio Base (Erb) Que Permitam A Oferta Do Smp Por Meio De Padrão Tecnológico Igual Ou Superior Ao 5g Nr Release 16 Do 3gpp,Edital do 5G (001-2021-SOR/SPR/CD-ANATEL),Brisanet,A vencer,31/12/2029
